[2025-04-02 12:11:29,088] INFO: [CLIENT] Connected to video server at 127.0.0.1:12345
[2025-04-02 12:11:31,135] INFO: [CLIENT] Sent video packet of size 59694 at timestamp 1743585091.1336472
[2025-04-02 12:11:31,183] INFO: [CLIENT] Sent video packet of size 58341 at timestamp 1743585091.1823137
[2025-04-02 12:11:31,231] INFO: [CLIENT] Sent video packet of size 54450 at timestamp 1743585091.2303638
[2025-04-02 12:11:31,279] INFO: [CLIENT] Sent video packet of size 53370 at timestamp 1743585091.2777119
[2025-04-02 12:11:31,324] INFO: [CLIENT] Sent video packet of size 52958 at timestamp 1743585091.3232236
[2025-04-02 12:11:31,372] INFO: [CLIENT] Sent video packet of size 61865 at timestamp 1743585091.3712456
[2025-04-02 12:11:31,418] INFO: [CLIENT] Sent video packet of size 57809 at timestamp 1743585091.4173036
[2025-04-02 12:11:31,482] INFO: [CLIENT] Sent video packet of size 58092 at timestamp 1743585091.481242
[2025-04-02 12:11:31,526] INFO: [CLIENT] Sent video packet of size 59286 at timestamp 1743585091.5252242
[2025-04-02 12:11:31,572] INFO: [CLIENT] Sent video packet of size 59944 at timestamp 1743585091.57119
[2025-04-02 12:11:31,621] INFO: [CLIENT] Sent video packet of size 60496 at timestamp 1743585091.6197271
[2025-04-02 12:11:31,667] INFO: [CLIENT] Sent video packet of size 62085 at timestamp 1743585091.6662095
[2025-04-02 12:11:31,715] INFO: [CLIENT] Sent video packet of size 58023 at timestamp 1743585091.7142348
[2025-04-02 12:11:31,762] INFO: [CLIENT] Sent video packet of size 58395 at timestamp 1743585091.7611864
[2025-04-02 12:11:31,809] INFO: [CLIENT] Sent video packet of size 58365 at timestamp 1743585091.8082263
[2025-04-02 12:11:31,857] INFO: [CLIENT] Sent video packet of size 58352 at timestamp 1743585091.8561852
[2025-04-02 12:11:31,903] INFO: [CLIENT] Sent video packet of size 58690 at timestamp 1743585091.9027302
[2025-04-02 12:11:31,952] INFO: [CLIENT] Sent video packet of size 58935 at timestamp 1743585091.9512691
[2025-04-02 12:11:31,997] INFO: [CLIENT] Sent video packet of size 58240 at timestamp 1743585091.996002
[2025-04-02 12:11:32,044] INFO: [CLIENT] Sent video packet of size 57428 at timestamp 1743585092.0432274
[2025-04-02 12:11:32,091] INFO: [CLIENT] Sent video packet of size 56499 at timestamp 1743585092.0902405
[2025-04-02 12:11:32,137] INFO: [CLIENT] Sent video packet of size 56567 at timestamp 1743585092.1362343
[2025-04-02 12:11:32,184] INFO: [CLIENT] Sent video packet of size 56649 at timestamp 1743585092.183225
[2025-04-02 12:11:32,231] INFO: [CLIENT] Sent video packet of size 56785 at timestamp 1743585092.230253
[2025-04-02 12:11:32,278] INFO: [CLIENT] Sent video packet of size 56661 at timestamp 1743585092.2773771
[2025-04-02 12:11:32,325] INFO: [CLIENT] Sent video packet of size 56718 at timestamp 1743585092.3242157
[2025-04-02 12:11:32,371] INFO: [CLIENT] Sent video packet of size 56734 at timestamp 1743585092.370808
[2025-04-02 12:11:32,421] INFO: [CLIENT] Sent video packet of size 56742 at timestamp 1743585092.419374
[2025-04-02 12:11:32,467] INFO: [CLIENT] Sent video packet of size 56660 at timestamp 1743585092.46619
[2025-04-02 12:11:32,515] INFO: [CLIENT] Sent video packet of size 56717 at timestamp 1743585092.5142488
